msoa11cd,"1. Higher managerial, administrative and professional occupations","2. Lower managerial, administrative and professional occupations",3. Intermediate occupations,4. Small employers and own account workers,5. Lower supervisory and technical occupations,6. Semi-routine occupations,7. Routine occupations,8. Never worked and long-term unemployed
E02003860,208,175,33,91,55,33,36,5
E02003861,141,161,38,75,73,50,70,11
E02003862,263,165,20,136,24,14,8,11
E02003863,245,197,34,80,54,39,28,12
E02003864,282,236,28,181,47,30,40,7
E02003865,134,112,35,111,86,56,76,8
E02003866,162,145,32,65,46,20,26,1
E02003867,102,115,34,74,61,40,54,4
E02003868,85,121,32,86,121,74,91,10
E02003869,152,147,42,82,76,48,70,19
E02003870,67,94,51,98,83,63,108,10
E02003871,73,119,32,82,77,68,106,14
E02003872,323,253,38,298,80,58,83,14
E02003873,29,48,20,67,47,36,105,25
E02003794,120,135,32,126,113,72,120,13
E02003795,109,129,25,117,57,31,42,14
E02003796,124,166,48,75,118,84,100,4
E02003797,193,200,58,75,88,54,56,15
E02003798,14,37,15,40,73,50,92,12
E02003799,28,75,40,61,93,80,126,27
E02003800,181,169,35,105,63,42,60,5
E02003801,94,132,44,64,113,71,77,9
E02003802,66,92,44,72,84,77,118,21
E02003803,80,86,30,72,56,44,57,9
E02003804,48,90,28,60,87,51,60,8
E02003805,177,177,28,94,68,38,53,2
E02003806,85,132,31,77,85,54,46,6
E02003807,329,266,54,91,83,43,52,10
E02003808,44,52,11,51,62,50,66,9
E02003809,180,154,34,188,63,62,73,15
E02003810,148,165,38,258,77,74,81,7
E02003841,202,220,41,104,85,59,80,6
E02003842,205,169,32,114,70,33,44,4
E02003843,37,62,20,44,163,112,122,16
E02003844,111,191,56,93,113,60,78,5
E02003845,13,36,20,44,97,88,139,20
E02003846,13,52,26,38,108,87,122,11
E02003847,113,162,37,68,150,55,78,4
E02003848,12,41,17,35,96,77,124,10
E02003849,22,30,16,38,101,106,145,17
E02003850,42,75,22,33,100,82,87,4
E02003851,46,87,25,46,138,65,84,7
E02003852,55,103,29,57,154,66,98,8
E02003874,225,209,51,114,135,75,109,11
E02003875,162,142,28,187,74,29,72,7
E02003876,55,66,26,47,79,47,72,2
E02003877,226,195,29,145,135,95,79,5
E02003878,123,105,27,138,115,61,130,22
E02003879,39,47,14,47,68,39,82,9
E02003880,90,93,24,65,125,62,126,8
E02003881,28,55,27,35,71,44,83,7
E02003882,46,68,27,71,136,99,157,19
E02003883,210,194,38,73,70,36,38,3
E02003884,276,247,47,151,96,44,63,4
E02003885,96,94,37,67,81,64,66,9
E02003886,26,39,16,48,89,60,94,21
E02003887,49,70,26,58,60,55,67,3
E02003888,25,52,14,37,75,62,153,20
E02003889,44,51,14,49,75,55,87,10
E02003890,46,71,12,57,58,50,74,7
E02003891,161,144,24,154,45,56,44,3
E02002574,79,129,39,88,136,55,83,6
E02002575,78,100,37,69,97,52,54,9
E02002576,29,51,19,46,135,68,176,26
E02002577,10,49,23,51,136,98,167,14
E02002578,38,67,29,58,123,77,142,14
E02002579,19,36,24,39,106,96,143,18
E02002580,19,30,10,32,85,72,134,36
E02002581,50,113,37,85,139,97,115,18
E02002582,60,85,23,63,59,44,46,10
E02002583,24,43,20,45,94,84,116,16
E02002584,28,67,26,36,148,83,117,12
E02002585,60,81,28,64,168,80,131,18
E02002586,14,60,26,46,151,102,171,23
E02002587,16,29,14,24,73,58,102,14
E02002588,14,44,22,38,88,106,126,34
E02002589,97,136,34,48,133,60,69,4
E02002590,156,156,27,105,65,38,53,7
E02002591,136,131,43,87,69,57,68,5
E02002592,56,94,24,77,138,75,121,23
E02002593,69,82,19,45,53,37,67,5
E02002594,32,50,16,24,38,49,69,2
E02002595,13,20,8,31,71,93,136,8
E02002596,81,137,37,69,117,65,117,3
E02002597,26,53,17,52,99,104,157,10
E02002598,32,53,8,17,35,18,33,4
E02002599,76,93,33,55,82,53,89,16
E02002600,22,78,46,66,130,119,185,9
E02002601,62,141,52,81,142,94,159,6
E02002602,7,22,8,25,63,60,116,17
E02002603,61,110,34,77,89,74,108,16
E02002604,85,141,52,80,132,82,96,13
E02002605,58,77,29,61,121,89,96,6
E02002606,20,40,23,53,84,91,121,38
E02002607,52,91,45,70,140,126,205,23
E02002608,119,165,54,89,217,122,150,16
E02002609,23,54,19,45,89,97,155,15
E02002610,269,252,50,148,111,53,93,1
E02002611,137,155,49,77,106,65,86,7
E02002612,161,177,57,90,104,80,90,15
E02002613,117,130,32,84,59,16,31,10
E02002614,226,187,28,70,40,17,19,0
E02003965,98,181,47,240,162,157,195,32
E02003966,132,164,25,274,50,47,73,8
E02003967,90,125,26,208,97,76,147,13
E02003968,89,165,38,114,149,111,170,32
E02003969,17,50,15,56,107,83,178,16
E02003970,134,151,29,141,73,67,91,9
E02003971,158,191,38,147,85,69,114,7
E02003972,62,126,43,91,142,92,193,18
E02003973,19,57,30,41,117,116,216,18
E02003974,59,105,41,64,146,110,170,12
E02003975,80,116,26,105,107,73,131,11
E02003976,183,188,32,179,67,54,70,7
E02003977,55,77,17,78,98,60,124,16
E02003978,44,89,22,78,101,74,119,4
E02003979,179,277,76,107,170,63,140,17
E02003980,13,43,25,41,94,86,166,17
E02003981,36,84,26,37,71,74,110,11
E02003982,99,142,44,70,113,67,120,11
E02003983,25,59,28,48,97,88,149,9
E02003984,13,37,19,53,76,72,131,22
E02003985,46,94,56,62,128,97,174,10
E02003986,41,96,36,52,90,70,171,7
E02003987,67,65,23,241,69,56,93,14
E02003988,108,132,30,153,77,68,84,7
E02003989,102,185,66,89,82,64,99,3
E02003990,190,224,67,153,82,59,96,8
E02003991,69,149,54,116,109,67,116,4
E02003992,57,88,56,75,76,69,116,16
E02003993,161,224,35,234,81,46,68,11
E02003994,40,77,54,55,109,77,127,25
E02003995,43,83,59,61,178,130,197,30
E02003996,19,62,34,51,86,78,125,27
E02003997,20,70,37,45,127,100,178,9
E02003998,21,71,30,49,110,78,132,14
E02003999,149,166,79,188,129,93,93,24
E02004000,36,52,24,58,93,55,117,9
E02004001,45,77,25,50,126,59,116,11
E02004002,112,163,38,62,208,84,139,11
E02004003,90,124,44,125,214,121,242,21
E02004004,32,61,18,35,189,82,235,17
E02004005,70,101,30,78,155,78,135,22
E02004006,260,217,34,176,151,97,81,6
E02004007,110,182,27,192,173,102,205,28
E02004008,103,121,18,209,48,42,60,5
E02004009,92,137,21,216,32,30,50,5
E02004010,34,60,48,77,59,71,153,19
E02004011,148,226,77,213,103,88,174,26
E02004012,155,151,22,215,43,33,56,5
E02004013,150,179,27,310,108,68,159,13
E02004014,135,146,31,313,57,55,90,5
E02004015,192,193,22,210,48,44,54,10
E02004016,182,181,48,234,74,62,84,6
E02004017,119,120,57,122,93,75,116,12
E02004018,88,99,43,91,53,63,121,6
E02004019,116,195,59,152,95,84,119,15
E02004020,122,156,51,113,101,73,116,7
E02004021,186,128,20,212,48,45,37,7
E02004022,164,143,25,175,70,39,40,11
E02004023,144,176,32,207,42,50,54,1
E02004024,231,222,45,222,49,62,69,4
E02004025,275,243,65,212,112,62,77,9
E02004026,118,112,34,85,131,64,123,15
E02004027,292,285,56,258,116,65,91,14
E02004028,219,204,52,148,149,55,84,15
E02000984,178,178,37,88,68,38,39,3
E02000985,176,210,55,106,73,78,59,6
E02000986,122,166,50,97,94,70,76,3
E02000987,57,84,28,86,103,81,113,9
E02000988,43,62,17,76,67,86,118,26
E02000989,184,246,61,157,111,77,94,6
E02000990,86,124,29,87,72,59,77,3
E02000991,66,99,32,93,78,96,89,8
E02000992,59,114,35,67,85,59,97,4
E02000993,17,33,16,50,58,72,111,11
E02000994,17,36,18,35,47,81,139,29
E02000995,134,143,32,108,80,70,85,6
E02000996,35,56,25,68,71,80,137,34
E02000997,87,111,27,91,55,44,52,11
E02000998,17,48,35,55,66,97,132,18
E02000999,18,25,15,47,58,93,183,49
E02001000,48,78,26,103,110,115,144,16
E02001001,96,104,29,67,47,52,59,12
E02001002,77,96,39,72,100,81,129,10
E02001003,241,214,37,129,64,32,39,4
E02001004,8,31,20,37,41,66,169,25
E02001005,28,33,19,64,44,74,101,23
E02001006,13,24,19,30,62,65,131,19
E02001007,58,104,58,115,176,151,174,17
E02001008,16,31,16,40,56,57,117,21
E02001009,42,62,29,79,77,76,117,13
E02001010,9,35,18,46,55,45,90,13
E02001011,100,136,40,105,110,94,105,10
E02001012,38,78,31,72,80,73,106,10
E02001013,118,134,28,111,74,55,59,8
E02001014,37,58,35,83,80,72,150,8
E02001015,27,67,26,81,111,157,154,25
E02001016,22,40,26,53,80,75,141,5
E02001017,41,83,33,103,140,137,160,12
E02001018,65,69,15,60,61,41,47,3
E02001019,102,105,45,116,78,61,99,10
E02001020,176,177,37,95,73,35,60,6
E02001021,111,120,27,88,61,37,57,19
E02001022,86,113,49,127,108,71,110,26
E02001023,95,113,31,66,37,36,46,2
E02001024,91,114,39,100,89,77,85,11
E02001025,25,45,26,73,69,72,120,29
E02001026,7,33,21,40,80,64,134,20
E02001027,31,48,21,48,70,58,83,8
E02001028,179,222,80,114,125,70,81,5
E02001029,23,48,29,53,63,78,116,16
E02001030,55,80,38,82,47,42,58,5
E02001031,45,75,33,80,68,67,83,9
E02001032,45,71,39,78,117,82,114,8
E02001033,15,30,14,39,31,45,76,12
E02001034,30,35,14,65,93,87,127,19
E02001035,124,159,66,135,77,64,74,3
E02001036,39,59,21,70,60,54,71,4
E02001037,157,138,46,176,62,43,49,16
E02001038,36,62,22,79,60,69,73,7
E02001039,25,61,30,64,88,78,104,6
E02001040,63,104,53,93,72,49,56,9
E02001041,33,81,31,85,65,56,83,16
E02001042,71,96,33,121,43,34,60,7
E02001043,42,65,23,51,63,47,62,14
E02001044,92,76,24,92,34,37,65,8
E02001045,23,59,32,47,90,99,166,16
E02001046,30,57,39,54,78,79,118,19
E02001047,22,60,31,59,93,143,149,25
E02001048,34,62,37,88,56,77,106,22
E02001049,41,86,49,79,113,90,123,15
E02001050,15,33,21,36,47,53,106,22
E02001051,17,51,41,54,74,79,112,15
E02001052,23,56,24,103,59,80,110,75
